,cj,-3,-2,0,0,0,0,,
c_B,Basis,x_1,x_2,s_1,s_2,s_3,s_4,b,
0,s_1,-1,-1,1,0,0,0,-1,
0,s_2,1,1,0,1,0,0,7,
0,s_3,-1,-2,0,0,1,0,-10,
0,s_4,0,1,0,0,0,1,3,
,,,,,,,,,
,,,,,,,,,
,cj,-3,-2,0,0,0,0,,
c_B,Basis,x_1,x_2,s_1,s_2,s_3,s_4,b,
0,s_1,-1,-1,1,0,0,0,-1,
0,s_2,1,1,0,1,0,0,7,
0,s_3,-1,-2,0,0,1,0,-10,<--
0,s_4,0,1,0,0,0,1,3,
iter_1,Zj,0,0,0,0,0,0,0,
,cj - Zj,-3,-2,0,0,0,0,,
,ratios,3,1,,#DIV/0!,#DIV/0!,#DIV/0!,,
,,,^,,,,,,
,,,,,,,,,
,cj,-3,-2,0,0,0,0,,
c_B,Basis,x_1,x_2,s_1,s_2,s_3,s_4,b,
0,s_1,-0.5,0,0,0,0,0,4,
0,s_2,0.5,0,0,0,0,0,2,
-2,x_2,0.5,1,0,0,0,0,5,
0,s_4,-0.5,0,0,0,0,0,-2,
iter_1,Zj,-1,-2,0,0,0,0,-10,
,cj - Zj,-2,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
,cj,-3,-2,0,0,0,0,,
c_B,Basis,x_1,x_2,s_1,s_2,s_3,s_4,b,
0,s_1,-0.5,0,0,0,0,0,4,
0,s_2,0.5,0,0,0,0,0,2,
-2,x_2,0.5,1,0,0,0,0,5,
0,s_4,-0.5,0,0,0,0,0,-2,<--
iter_2,Zj,-1,-2,0,0,0,0,-10,
,cj - Zj,-2,0,0,0,0,0,,
,ratios,4,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,,^,,,,,,,
,,,,,,,,,
,cj,-3,-2,0,0,0,0,,
c_B,Basis,x_1,x_2,s_1,s_2,s_3,s_4,b,
0,s_1,0,0,0,0,0,0,6,
0,s_2,0,0,0,0,0,0,0,
-2,x_2,0,1,0,0,0,0,3,
-3,x_1,1,0,0,0,0,0,4,
iter_2,Zj,-3,-2,0,0,0,0,-18,
,cj - Zj,0,0,0,0,0,0,,
